country,longitude,latitude
Turkey,35.0,39.0
Turkmenistan,60.0,40.0
Turks and Caicos Islands,-71.35,21.45
Tuvalu,178.0,-8.0
Uganda,32.0,1.0
Ukraine,32.0,49.0
Macedonia,22.0,41.5
Egypt,30.0,27.0
United Kingdom,-2.0,54.0
Guernsey Island,-2.35,49.28
Jersey Island,-2.1,49.15
Isle of Man,-4.3,54.15
Tanzania,35.0,-6.0
United States,-97.0,38.0
Burkina Faso,-2.0,13.0
Uruguay,-56.0,-33.0
Uzbekistan,64.0,41.0
Venezuela,-66.0,8.0
Wallis and Futuna,-176.12,-13.18
Samoa,-172.2,-13.35
Yemen,48.0,15.0
Zambia,30.0,-15.0
Abkhazia,43.01,41.02
